OT;;Open Tender;MD;en
RT;;Restricted Tender;MD;en
OT;;Licitatia deschisa;MD;ro
RT;;Licitație limitată;MD;ro
OT;;Открытый тендер;MD;ru
RT;;Ограниченный тендер;MD;ru
