MD XXX;;RIS Inland waterways;UN/LOCDE;locality;;MD;ro
MD SCT;;Salcuta;UN/LOCDE;locality;;MD;ro
MD SOR;;Soroca;UN/LOCDE;locality;;MD;ro
MD STV;;Stefan-Voda;UN/LOCDE;locality;;MD;ro
MD STR;;Straseni;UN/LOCDE;locality;;MD;ro
MD TAR;;Taraclia;UN/LOCDE;locality;;MD;ro
MD TCA;;Taraclia;UN/LOCDE;locality;;MD;ro
MD TEL;;Telenesti;UN/LOCDE;locality;;MD;ro
MD TIR;;Tiraspol;UN/LOCDE;locality;;MD;ro
MD UNG;;Ungeny;UN/LOCDE;locality;;MD;ro
MD VTG;;Vatra;UN/LOCDE;locality;;MD;ro
MD VLC;;Vulcanesti;UN/LOCDE;locality;;MD;ro
MD VUL;;Vulcanesti;UN/LOCDE;locality;;MD;ro
